Frame ID,QR ID,QR 2D (Corner Points),Distance,Yaw (degrees),Pitch (degrees),Roll (degrees)
0,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
1,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
2,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
3,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
4,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
5,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
6,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
7,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
8,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
9,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
10,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
11,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
12,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
13,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
14,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
15,0,"[[628.0, 196.0], [769.0, 195.0], [771.0, 335.0], [629.0, 337.0]]",0.26060345190922624,-0.5238503500608662,-0.05009394486091346,177.86416273711913
16,0,"[[631.0, 197.0], [772.0, 196.0], [773.0, 337.0], [632.0, 338.0]]",0.2613485173936079,-0.406346233307783,1.0684033404504161e-11,179.99999999999426
17,0,"[[631.0, 198.0], [772.0, 198.0], [773.0, 337.0], [631.0, 340.0]]",0.260792540883107,-0.36990002791774823,-0.39993188169204313,178.65753660068202
18,0,"[[629.0, 204.0], [769.0, 202.0], [771.0, 342.0], [630.0, 345.0]]",0.26191664935853187,-0.7903351865813738,0.28770000436796084,179.7881805498553
19,0,"[[629.0, 205.0], [769.0, 202.0], [772.0, 343.0], [631.0, 346.0]]",0.2614618766224985,-1.1071220950263108,0.22282465114810934,-179.98173263051316
20,0,"[[628.0, 199.0], [769.0, 195.0], [772.0, 334.0], [630.0, 336.0]]",0.26187069006429947,-0.8394619578985764,3.3896942098149276,174.50763985627478
21,0,"[[628.0, 186.0], [770.0, 184.0], [772.0, 327.0], [630.0, 330.0]]",0.258711141799922,-1.1549453721707,-1.8180578357946244,-177.8583652541651
22,0,"[[633.0, 200.0], [775.0, 198.0], [778.0, 339.0], [636.0, 342.0]]",0.25938543320730023,-1.1133741096967291,-0.9681625875639592,178.9494496073254
23,0,"[[637.0, 215.0], [779.0, 213.0], [782.0, 355.0], [639.0, 357.0]]",0.2580039531185764,-0.816497109369306,-0.10410794662599848,178.0721827744016
24,0,"[[642.0, 229.0], [784.0, 227.0], [787.0, 371.0], [643.0, 374.0]]",0.2548565506941578,-0.9983999800881304,-2.444151135565625,-179.9405340825449
25,0,"[[654.0, 238.0], [796.0, 237.0], [801.0, 378.0], [657.0, 380.0]]",0.25651660060794323,-0.7412486528835861,-1.601305385212891,174.33059536340772
26,0,"[[675.0, 237.0], [819.0, 236.0], [824.0, 378.0], [678.0, 380.0]]",0.2550236317309372,-0.6192821381550064,-0.26371572863994874,173.74802590861242
27,0,"[[691.0, 235.0], [837.0, 234.0], [840.0, 378.0], [692.0, 379.0]]",0.254146290347814,-0.17422964297048818,2.344645940325167,174.9341810045708
28,0,"[[680.0, 248.0], [829.0, 246.0], [828.0, 395.0], [679.0, 397.0]]",0.2479303840090905,-0.5054658891865677,0.023424372598471733,-175.98906852029708
29,0,"[[662.0, 246.0], [812.0, 242.0], [815.0, 394.0], [663.0, 398.0]]",0.2428421895664323,-1.2242334711022484,-0.5433207606862408,-178.95539642615597
30,0,"[[647.0, 265.0], [801.0, 261.0], [805.0, 422.0], [649.0, 426.0]]",0.22945506682152458,-1.4415113086165652,-7.511182668182269,-179.1943445376385
31,0,"[[633.0, 299.0], [790.0, 294.0], [795.0, 451.0], [636.0, 457.0]]",0.23190216454765816,-1.6900140314108871,-0.6466673240864632,179.51926396977683
32,0,"[[611.0, 277.0], [772.0, 272.0], [777.0, 428.0], [614.0, 434.0]]",0.22784094223428603,-1.6328511760769482,3.460034521757327,170.27317822273017
33,0,"[[602.0, 259.0], [767.0, 256.0], [773.0, 417.0], [606.0, 421.0]]",0.22144207972600743,-1.2271586695167171,0.07281689327872781,171.89372483722593
34,0,"[[593.0, 232.0], [763.0, 227.0], [768.0, 395.0], [596.0, 401.0]]",0.21462198360391205,-1.494035648170198,1.5684453177090647,175.79847437245988
35,0,"[[591.0, 245.0], [766.0, 240.0], [777.0, 422.0], [599.0, 428.0]]",0.2009895423015367,-2.2051786896548515,-8.488457647297741,176.89325150073125
36,0,"[[609.0, 269.0], [793.0, 266.0], [801.0, 444.0], [614.0, 448.0]]",0.19926060124740308,-1.1567738547272213,0.569743761572271,169.3757465520616
37,0,"[[619.0, 253.0], [814.0, 251.0], [821.0, 450.0], [622.0, 452.0]]",0.18426060864721475,-0.7141061699456777,-2.3664113191949414,175.89180657199074
38,0,"[[623.0, 275.0], [828.0, 275.0], [829.0, 482.0], [620.0, 483.0]]",0.1768567222511121,0.20190911601872846,-0.9183923550088903,178.18017285054952
39,0,"[[609.0, 258.0], [825.0, 257.0], [827.0, 470.0], [607.0, 470.0]]",0.1702306963057144,0.06277346224744632,2.942809148292273,174.9390132206982
40,0,"[[608.0, 247.0], [834.0, 248.0], [837.0, 474.0], [606.0, 472.0]]",0.16136401231794392,0.33990118749881554,1.3867570118548382,175.10375003165973
41,0,"[[608.0, 234.0], [845.0, 234.0], [847.0, 470.0], [605.0, 470.0]]",0.15428769101056244,0.23597716780888914,1.497680469169346,176.34292381842423
42,0,"[[585.0, 215.0], [835.0, 212.0], [838.0, 459.0], [581.0, 461.0]]",0.14609512844896264,-0.05859657676193803,3.1816104383672807,173.91207116475437
43,0,"[[567.0, 213.0], [834.0, 209.0], [838.0, 487.0], [562.0, 491.0]]",0.13284808239588974,-0.25536521629179104,-1.039719136130369,177.725793792972
44,0,"[[567.0, 213.0], [834.0, 209.0], [838.0, 487.0], [562.0, 491.0]]",0.13284808239588974,-0.25536521629179104,-1.039719136130369,177.725793792972
45,0,"[[535.0, 231.0], [822.0, 226.0], [830.0, 522.0], [533.0, 528.0]]",0.12390731542162176,-0.6879987501869175,-0.8341499452574801,176.2712991835966
46,0,"[[514.0, 246.0], [821.0, 238.0], [838.0, 560.0], [520.0, 570.0]]",0.1148635517291888,-1.5960195115238494,-2.213706128595977,175.642102936949
47,0,"[[513.0, 261.0], [837.0, 256.0], [843.0, 581.0], [507.0, 589.0]]",0.11161330949822021,-0.4108013488902945,-0.8974764558822051,176.20832112974503
48,0,"[[472.0, 238.0], [815.0, 226.0], [829.0, 561.0], [470.0, 577.0]]",0.10597818961882276,-1.6189028082630987,-0.29345049186766525,172.7160062337522
49,0,"[[441.0, 173.0], [812.0, 159.0], [846.0, 527.0], [465.0, 543.0]]",0.09747877010864162,-3.333857178817042,-1.4167430027955332,176.07136196330845
50,0,"[[483.0, 189.0], [868.0, 176.0], [895.0, 619.0], [503.0, 640.0]]",0.0864960987651704,-1.961640097946333,-11.624535404018976,176.94779885918754
51,0,"[[486.0, 317.0], [872.0, 307.0], [892.0, 707.0], [486.0, 715.0]]",0.09433463229699948,-1.3110198254147984,0.5467952680832512,174.96799474517306
61,0,"[[338.0, 158.0], [903.0, 158.0], [926.0, 706.0], [335.0, 707.0]]",0.06508433059012181,-0.5589945516144016,-0.08210257826059394,176.95292482421632
62,0,"[[342.0, 108.0], [936.0, 110.0], [967.0, 702.0], [355.0, 700.0]]",0.06111059738619656,-0.9605864997353418,0.3050820114002535,177.86944817664914
63,0,"[[352.0, 70.0], [968.0, 70.0], [972.0, 677.0], [340.0, 671.0]]",0.059354862085396684,0.333164087746488,0.6990365049543538,178.08039173639656
64,0,"[[332.0, 22.0], [970.0, 27.0], [974.0, 658.0], [329.0, 649.0]]",0.05736105271407061,0.3025781418447893,0.36103863127672403,179.10964497794964
65,0,"[[329.0, 20.0], [973.0, 26.0], [961.0, 668.0], [316.0, 664.0]]",0.05659006221575598,0.7774201191428103,-0.16102584832220812,179.90826888403618
66,0,"[[293.0, 10.0], [945.0, 8.0], [932.0, 645.0], [283.0, 644.0]]",0.056740469485814606,0.49728598967817633,0.277971218581119,-179.96267776074578
69,0,"[[266.0, 28.0], [890.0, 24.0], [911.0, 639.0], [287.0, 643.0]]",0.058980023917566564,-1.1543831817657566,-0.2904076784814942,-179.78306057476058
